Date,Region,Product,Sales
2023-05-09,West,Hatchback,283
2023-03-18,North,Truck,233
2023-03-13,South,Hatchback,217
2023-03-22,East,Sedan,120
2023-04-27,North,Hatchback,216
2023-01-14,North,Truck,294
2023-11-23,West,SUV,79
2023-03-24,South,SUV,276
2023-12-17,North,Hatchback,218
2023-07-17,West,SUV,276
2023-11-01,East,Sedan,122
2023-01-13,North,Hatchback,99
2023-03-07,West,Truck,271
2023-04-01,South,Hatchback,77
2023-12-16,South,Hatchback,154
2023-11-27,West,Minivan,213
2023-12-12,West,Hatchback,190
2023-02-03,South,Truck,208
2023-09-22,South,Sedan,89
2023-01-22,North,Sedan,160
2023-02-28,East,Sedan,214
2023-05-17,West,Truck,195
2023-07-15,West,Minivan,154
2023-06-25,West,Minivan,132
2023-06-02,West,Truck,130
2023-03-04,North,Minivan,197
2023-11-29,West,SUV,157
2023-05-10,West,SUV,123
2023-05-25,South,Truck,208
2023-12-03,West,SUV,254
2023-03-02,South,Truck,270
2023-07-30,South,Truck,233
2024-01-01,West,Sedan,58
2023-10-26,West,SUV,253
2023-07-07,North,SUV,113
2023-12-29,North,Minivan,205
2023-02-19,North,Truck,197
2023-02-18,North,Sedan,288
2023-07-23,East,Minivan,299
2023-06-24,West,Truck,145
2023-01-16,South,Truck,96
2023-05-01,North,Truck,288
2023-12-28,West,Truck,236
2023-03-29,West,SUV,196
2023-08-26,North,Truck,116
2023-02-09,North,Sedan,127
2023-10-04,East,SUV,160
2023-07-23,West,Hatchback,94
2023-06-10,North,SUV,269
2023-03-16,North,Minivan,177
